Modelo,Precisión,F1-Score,ROC AUC
Random Forest,0.8492666666666666,0.848711943793911,0.9304078713021972
Logistic Regression,0.8914,0.8937030995106036,0.9574440695906707
MLP,0.861,0.8620940538395396,0.9361756879577656
